fighter,opponent,method,round,time,time_format,referee,event_date,event_location,event_url,f_rd1_KD,f_rd1_Sig_str,f_rd1_Total_str,f_rd1_Sub_att,f_rd1_Rev,f_rd1_Ctrl,o_rd1_KD,o_rd1_Sig_str,o_rd1_Total_str,o_rd1_Sub_att,o_rd1_Rev,o_rd1_Ctrl,f_rd1_Head,f_rd1_Body,f_rd1_Leg,f_rd1_Distance,f_rd1_Clinch,f_rd1_Ground,o_rd1_Head,o_rd1_Body,o_rd1_Leg,o_rd1_Distance,o_rd1_Clinch,o_rd1_Ground
Tony Ferguson,Aaron Riley,TKO - Doctor's Stoppage,1,5:00,3 Rnd (5-5-5),Tom Johnson,"September 24, 2011","Denver, Colorado, USA",http://ufcstats.com/event-details/73ef22f25d0f70e2,0,31 of 82,31 of 82,0,0,0:02,0,11 of 49,11 of 49,0,0,0:00,22 of 67,6 of 8,3 of 7,29 of 79,2 of 3,0 of 0,3 of 35,4 of 7,4 of 7,11 of 49,0 of 0,0 of 0
Nate Diaz,Takanori Gomi,Submission,1,4:27,3 Rnd (5-5-5),Mario Yamasaki,"September 24, 2011","Denver, Colorado, USA",http://ufcstats.com/event-details/73ef22f25d0f70e2,1,36 of 73,42 of 81,3,0,0:23,0,4 of 23,6 of 25,0,0,0:37,34 of 71,2 of 2,0 of 0,34 of 71,2 of 2,0 of 0,1 of 16,3 of 7,0 of 0,3 of 21,0 of 0,1 of 2
Mike Easton,Byron Bloodworth,KO/TKO,2,4:52,3 Rnd (5-5-5),Kevin Mulhall,"October 01, 2011","Washington, DC, USA",http://ufcstats.com/event-details/44f9c777fed7ca03,0,8 of 26,11 of 29,0,0,0:41,0,8 of 31,11 of 34,0,0,0:13,1 of 15,2 of 3,5 of 8,3 of 21,5 of 5,0 of 0,5 of 25,1 of 3,2 of 3,7 of 29,1 of 2,0 of 0
Junior Assuncao,Eddie Yagin,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,"September 24, 2011","Denver, Colorado, USA",http://ufcstats.com/event-details/73ef22f25d0f70e2,0,7 of 17,16 of 26,0,0,1:52,0,3 of 9,13 of 23,0,0,0:00,4 of 10,3 of 4,0 of 3,3 of 12,0 of 0,4 of 5,3 of 9,0 of 0,0 of 0,3 of 9,0 of 0,0 of 0
Ben Rothwell,Mark Hunt,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Adam Martinez,"September 24, 2011","Denver, Colorado, USA",http://ufcstats.com/event-details/73ef22f25d0f70e2,0,13 of 29,14 of 30,0,0,1:26,0,7 of 29,12 of 34,0,0,0:23,13 of 29,0 of 0,0 of 0,3 of 17,0 of 0,10 of 12,7 of 29,0 of 0,0 of 0,7 of 29,0 of 0,0 of 0
Dominick Cruz,Demetrious Johnson,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Kevin Mulhall,"October 01, 2011","Washington, DC, USA",http://ufcstats.com/event-details/44f9c777fed7ca03,0,15 of 26,40 of 55,0,0,2:17,0,18 of 38,34 of 55,0,0,0:59,7 of 18,6 of 6,2 of 2,9 of 20,3 of 3,3 of 3,10 of 30,6 of 6,2 of 2,14 of 34,4 of 4,0 of 0
Travis Browne,Rob Broughton,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,"September 24, 2011","Denver, Colorado, USA",http://ufcstats.com/event-details/73ef22f25d0f70e2,0,20 of 44,27 of 51,0,0,1:10,0,14 of 32,25 of 44,0,0,0:05,8 of 31,0 of 1,12 of 12,12 of 33,5 of 6,3 of 5,6 of 23,2 of 2,6 of 7,11 of 28,3 of 4,0 of 0
Matt Hughes,Josh Koscheck,KO/TKO,1,4:59,3 Rnd (5-5-5),Mario Yamasaki,"September 24, 2011","Denver, Colorado, USA",http://ufcstats.com/event-details/73ef22f25d0f70e2,0,14 of 53,14 of 53,0,0,0:00,0,26 of 51,29 of 54,0,0,0:17,14 of 53,0 of 0,0 of 0,14 of 51,0 of 2,0 of 0,23 of 46,3 of 5,0 of 0,10 of 34,5 of 6,11 of 11
Nick Ring,Tim Boetsch,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"September 24, 2011","Denver, Colorado, USA",http://ufcstats.com/event-details/73ef22f25d0f70e2,0,9 of 31,12 of 34,0,0,1:07,0,10 of 29,10 of 29,0,0,0:00,1 of 22,6 of 7,2 of 2,3 of 25,0 of 0,6 of 6,5 of 19,3 of 7,2 of 3,8 of 27,2 of 2,0 of 0
Yves Jabouin,Ian Loveland,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,"August 27, 2011","Rio de Janeiro, Brazil",http://ufcstats.com/event-details/18968f97ad34f15c,0,10 of 24,11 of 25,0,0,0:00,0,12 of 33,15 of 39,1,0,1:37,4 of 13,4 of 5,2 of 6,10 of 22,0 of 2,0 of 0,10 of 31,2 of 2,0 of 0,5 of 19,5 of 9,2 of 5
